Gene stable ID	Transcript length (including UTRs and CDS)
ENSG00000005249	3745
ENSG00000005302	6544
ENSG00000005339	10803
ENSG00000005379	7483
ENSG00000005381	3215
ENSG00000005421	2568
ENSG00000005436	4440
ENSG00000005448	2356
ENSG00000005469	3175
ENSG00000005471	4269
ENSG00000005483	6874
ENSG00000005486	1878
ENSG00000005513	4153
ENSG00000005700	6054
ENSG00000005801	9943
ENSG00000005810	14736
ENSG00000005812	3503
ENSG00000005844	5213
ENSG00000005882	3440
ENSG00000005884	5479
ENSG00000005889	7558
ENSG00000005893	4030
ENSG00000005961	3333
ENSG00000005981	3825
ENSG00000006007	2958
ENSG00000006015	2465
ENSG00000006016	1792
ENSG00000006025	4497
ENSG00000006042	4434
ENSG00000006047	4553
ENSG00000006059	1287
ENSG00000006062	4583
ENSG00000006071	6565
ENSG00000006116	3088
ENSG00000006118	3981
ENSG00000006125	5702
ENSG00000006128	1239
ENSG00000006194	3830
ENSG00000006210	5796
ENSG00000006282	3539
ENSG00000006283	8138
ENSG00000006327	1678
ENSG00000006377	2304
ENSG00000006432	11169
ENSG00000006451	2880
ENSG00000006453	3622
ENSG00000006459	9272
ENSG00000006468	6740
ENSG00000006530	3874
ENSG00000006534	5884
ENSG00000006555	3345
ENSG00000006576	5198
ENSG00000006606	703
ENSG00000006607	6065
ENSG00000006611	2700
ENSG00000006625	1173
ENSG00000006634	3907
ENSG00000006638	2608
ENSG00000006652	3397
ENSG00000006659	774
ENSG00000006695	2873
ENSG00000006704	5868
ENSG00000006712	2066
ENSG00000006715	5903
ENSG00000006740	4428
ENSG00000006744	3738
ENSG00000006747	9713
ENSG00000006756	5159
ENSG00000006757	3372
ENSG00000006788	6067
ENSG00000006831	4018
ENSG00000006837	2160
ENSG00000007001	2435
ENSG00000007038	1106
ENSG00000007047	5209
ENSG00000007062	4349
ENSG00000007080	1055
ENSG00000007129	1691
ENSG00000007168	5497
ENSG00000007171	4176
ENSG00000007174	13750
ENSG00000007202	7407
ENSG00000007216	2855
ENSG00000007237	8033
ENSG00000007255	805
ENSG00000007264	2133
ENSG00000007306	2489
ENSG00000007312	1269
ENSG00000007314	7805
ENSG00000007341	4528
ENSG00000007350	2642
ENSG00000007372	7290
ENSG00000007376	2159
ENSG00000007384	2992
ENSG00000007392	2737
ENSG00000007402	5476
ENSG00000007516	4732
ENSG00000007520	1243
ENSG00000007541	3006
ENSG00000007545	7772
ENSG00000007866	2983
ENSG00000007908	3857
ENSG00000007923	3311
ENSG00000007933	2087
ENSG00000007944	2796
ENSG00000007952	2529
ENSG00000007968	5191
ENSG00000008018	1939
ENSG00000008056	3299
ENSG00000008083	5755
ENSG00000008086	12533
ENSG00000008118	2612
ENSG00000008128	2653
ENSG00000008130	3653
ENSG00000008196	5773
ENSG00000008197	1711
ENSG00000008226	6426
ENSG00000008256	4508
ENSG00000008277	9334
ENSG00000008282	2151
ENSG00000008283	3200
ENSG00000008294	8273
ENSG00000008300	11956
ENSG00000008311	3233
ENSG00000008323	3111
ENSG00000008324	1047
ENSG00000008382	1611
ENSG00000008394	2152
ENSG00000008405	3834
ENSG00000008438	720
ENSG00000008441	5459
ENSG00000008513	6951
ENSG00000008516	3554
ENSG00000008517	1381
ENSG00000008710	14138
ENSG00000008735	5596
ENSG00000008838	3896
ENSG00000008853	5451
ENSG00000008869	6905
ENSG00000008952	6568
ENSG00000008988	1826
ENSG00000009307	4312
ENSG00000009335	5229
ENSG00000009413	10964
ENSG00000009694	12891
ENSG00000009709	5538
ENSG00000009724	2439
ENSG00000009765	8742
ENSG00000009780	3567
ENSG00000009790	3302
ENSG00000009830	5647
ENSG00000009844	7028
ENSG00000009950	3278
ENSG00000009954	6102
ENSG00000010017	3113
ENSG00000010030	1776
ENSG00000010072	3559
ENSG00000010165	3327
ENSG00000010219	3272
ENSG00000010244	13781
ENSG00000010256	1985
ENSG00000010270	3653
ENSG00000010278	1744
ENSG00000010282	1865
ENSG00000010292	5548
ENSG00000010295	3101
ENSG00000010310	3289
ENSG00000010318	2130
ENSG00000010319	4899
ENSG00000010322	5350
ENSG00000010327	7928
ENSG00000010361	1675
ENSG00000010379	2185
ENSG00000010404	7619
ENSG00000010438	1144
ENSG00000010539	4308
ENSG00000010610	3114
ENSG00000010626	1628
ENSG00000010671	2767
ENSG00000010704	5286
ENSG00000010803	3323
ENSG00000010810	3628
ENSG00000010818	10032
ENSG00000010932	3130
ENSG00000011007	5154
ENSG00000011009	1810
ENSG00000011021	5631
ENSG00000011028	5988
ENSG00000011052	1193
ENSG00000011083	3739
ENSG00000011105	4323
ENSG00000011114	8430
ENSG00000011132	4250
ENSG00000011143	2397
ENSG00000011198	5366
ENSG00000011201	6314
ENSG00000011243	2749
ENSG00000011258	5382
ENSG00000011260	1894
ENSG00000011275	5639
ENSG00000011295	3075
ENSG00000011304	4661
ENSG00000011332	2356
ENSG00000011347	4854
ENSG00000011376	4744
ENSG00000011405	8227
ENSG00000011422	1610
ENSG00000011426	4787
ENSG00000011451	6299
ENSG00000011454	4997
ENSG00000011465	7156
ENSG00000011478	2310
ENSG00000011485	4675
ENSG00000011523	5847
ENSG00000011566	4362
ENSG00000011590	2068
ENSG00000011600	620
ENSG00000011638	2014
ENSG00000011677	3712
ENSG00000012048	7270
ENSG00000012061	3828
ENSG00000012124	3268
ENSG00000012171	3283
ENSG00000012174	4457
ENSG00000012211	2246
ENSG00000012223	2979
ENSG00000012232	8257
ENSG00000012504	2884
ENSG00000012660	3081
ENSG00000012779	2506
ENSG00000012817	5579
ENSG00000012822	5866
ENSG00000012963	3694
ENSG00000012983	4812
ENSG00000013016	4636
ENSG00000013275	1623
ENSG00000013288	7719
ENSG00000013293	10103
ENSG00000013297	2169
ENSG00000013306	2217
ENSG00000013364	2925
ENSG00000013374	3210
ENSG00000013375	6107
ENSG00000013392	3744
ENSG00000013441	3208
ENSG00000013503	4273
ENSG00000013523	5176
ENSG00000013561	4235
ENSG00000013563	3008
ENSG00000013573	4182
ENSG00000013583	2056
ENSG00000013588	7362
ENSG00000013619	4854
ENSG00000013725	3252
ENSG00000013810	2781
ENSG00000014123	4224
ENSG00000014138	3744
ENSG00000014164	3280
ENSG00000014216	3086
ENSG00000014257	3125
ENSG00000014641	1650
ENSG00000014824	6218
ENSG00000014914	3332
ENSG00000014919	2788
ENSG00000015133	7474
ENSG00000015153	5095
ENSG00000015171	4229
ENSG00000015285	1849
ENSG00000015413	1772
ENSG00000015475	2495
ENSG00000015479	7306
ENSG00000015520	5048
ENSG00000015532	3507
ENSG00000015568	7253
ENSG00000015592	2288
ENSG00000015676	8256
ENSG00000016082	2459
ENSG00000016391	7665
ENSG00000016402	3522
ENSG00000016490	3310
ENSG00000016602	3211
ENSG00000016864	1889
ENSG00000017260	5067
ENSG00000017427	7359
ENSG00000017483	2659
ENSG00000017797	4368
ENSG00000018189	4233
ENSG00000018236	5557
ENSG00000018280	5772
ENSG00000018408	5030
ENSG00000018510	7764
ENSG00000018607	1774
ENSG00000018610	2372
ENSG00000018625	5421
ENSG00000018699	3044
ENSG00000018869	2824
ENSG00000019102	1191
ENSG00000019144	5945
ENSG00000019169	1838
ENSG00000019186	3262
ENSG00000019485	10730
ENSG00000019505	5144
ENSG00000019549	2828
ENSG00000019582	1727
ENSG00000019991	5987
ENSG00000019995	5695
ENSG00000020129	3683
ENSG00000020181	6270
ENSG00000020219	1674
ENSG00000020256	3264
ENSG00000020426	2635
ENSG00000020577	6833
ENSG00000020633	4340
ENSG00000020922	6897
ENSG00000021300	2380
ENSG00000021355	2619
ENSG00000021461	1848
ENSG00000021488	1998
ENSG00000021574	5277
ENSG00000021645	8504
ENSG00000021762	3889
ENSG00000021776	9694
ENSG00000021826	5821
ENSG00000021852	2382
ENSG00000022267	2878
ENSG00000022277	2212
ENSG00000022355	4686
ENSG00000022556	3744
ENSG00000022567	7483
ENSG00000022840	3825
ENSG00000022976	2987
ENSG00000023041	2906
ENSG00000023171	7723
ENSG00000023191	3281
ENSG00000023228	11819
ENSG00000023287	6635
ENSG00000023318	4854
ENSG00000023330	2430
ENSG00000023445	5197
ENSG00000023516	9920
ENSG00000023572	5612
ENSG00000023608	2656
ENSG00000023697	1705
ENSG00000023734	1866
ENSG00000023839	5806
ENSG00000023892	2262
ENSG00000023902	3741
ENSG00000023909	4857
ENSG00000024048	7857
ENSG00000024422	3585
ENSG00000024526	5331
ENSG00000024862	1505
ENSG00000025039	4900
ENSG00000025156	2643
ENSG00000025293	5922
ENSG00000025423	1751
ENSG00000025434	2731
ENSG00000025708	2049
ENSG00000025770	2077
ENSG00000025772	2062
ENSG00000025796	6411
ENSG00000025800	7378
ENSG00000026025	2666
ENSG00000026036	5843
ENSG00000026103	2563
ENSG00000026297	2445
ENSG00000026508	5732
ENSG00000026559	3722
ENSG00000026652	7865
ENSG00000026751	3542
ENSG00000026950	3442
ENSG00000027001	2400
ENSG00000027075	3582
ENSG00000027644	5101
ENSG00000027697	2519
ENSG00000027847	2653
ENSG00000027869	1673
ENSG00000028116	2657
ENSG00000028137	3683
ENSG00000028203	4562
ENSG00000028277	6901
ENSG00000028310	4865
ENSG00000028528	8119
ENSG00000028839	4228
ENSG00000029153	6785
ENSG00000029363	7719
ENSG00000029364	5192
ENSG00000029534	8478
ENSG00000029559	1546
ENSG00000029639	1424
ENSG00000029725	5365
ENSG00000029993	3560
ENSG00000030066	5376
ENSG00000030110	2212
ENSG00000030304	3344
ENSG00000030419	9350
ENSG00000030582	2342
ENSG00000031003	5465
ENSG00000031081	9317
ENSG00000031691	1733
ENSG00000031698	1882
ENSG00000031823	3233
ENSG00000032219	5891
ENSG00000032389	2932
ENSG00000032444	4617
ENSG00000032742	3091
ENSG00000033011	2870
ENSG00000033030	5663
ENSG00000033050	3546
ENSG00000033100	3978
ENSG00000033122	6507
ENSG00000033170	5166
ENSG00000033178	9564
ENSG00000033327	6092
ENSG00000033627	4652
ENSG00000033800	8115
ENSG00000033867	7970
ENSG00000034053	4031
ENSG00000034152	2401
ENSG00000034239	2286
ENSG00000034510	496
ENSG00000034533	2669
ENSG00000034677	4330
ENSG00000034693	1969
ENSG00000034713	2274
ENSG00000034971	2095
ENSG00000035115	3540
ENSG00000035141	2398
ENSG00000035403	7995
ENSG00000035499	2499
ENSG00000035664	8086
ENSG00000035681	3764
ENSG00000035687	2780
ENSG00000035720	1511
ENSG00000035862	3652
ENSG00000035928	4886
ENSG00000036054	4054
ENSG00000036257	6741
ENSG00000036448	5014
ENSG00000036473	1585
ENSG00000036530	6609
ENSG00000036549	4737
ENSG00000036565	2956
ENSG00000036672	3732
ENSG00000036828	10047
ENSG00000037042	1776
ENSG00000037241	742
ENSG00000037280	5857
ENSG00000037474	3558
ENSG00000037637	6202
ENSG00000037749	2891
ENSG00000037757	3027
ENSG00000037897	2066
ENSG00000037965	1889
ENSG00000038002	2107
ENSG00000038210	3540
ENSG00000038219	10565
ENSG00000038274	3409
ENSG00000038295	6708
ENSG00000038358	5267
ENSG00000038382	11100
ENSG00000038427	12625
ENSG00000038532	6891
ENSG00000038945	3572
ENSG00000039068	4889
ENSG00000039123	4192
ENSG00000039139	15633
ENSG00000039319	6773
ENSG00000039523	4260
ENSG00000039537	3661
ENSG00000039560	5092
ENSG00000039600	3265
ENSG00000039650	2111
ENSG00000039987	2183
ENSG00000040199	8467
ENSG00000040275	2668
ENSG00000040341	4061
ENSG00000040487	2153
ENSG00000040531	2866
ENSG00000040608	2157
ENSG00000040633	2037
ENSG00000040731	3438
ENSG00000040933	9996
ENSG00000041353	7281
ENSG00000041357	4411
ENSG00000041515	7436
ENSG00000041802	3572
ENSG00000041880	2472
ENSG00000041982	7641
ENSG00000041988	2053
ENSG00000042062	4377
ENSG00000042088	3702
ENSG00000042286	3247
ENSG00000042304	2086
ENSG00000042317	3610
ENSG00000042429	5142
ENSG00000042445	3100
ENSG00000042493	1442
ENSG00000042753	935
ENSG00000042781	18883
ENSG00000042813	1213
ENSG00000042832	8450
ENSG00000042980	7052
ENSG00000043039	2148
ENSG00000043093	7954
ENSG00000043143	6465
ENSG00000043355	2983
ENSG00000043462	4678
ENSG00000043514	5930
ENSG00000043591	2853
ENSG00000044012	597
ENSG00000044090	5504
ENSG00000044115	3831
ENSG00000044446	5559
ENSG00000044459	5576
ENSG00000044524	5809
ENSG00000044574	3908
ENSG00000046604	5831
ENSG00000046647	1682
ENSG00000046651	4259
ENSG00000046653	3957
ENSG00000046774	1991
ENSG00000046889	10750
ENSG00000047056	4933
ENSG00000047188	6708
ENSG00000047230	4319
ENSG00000047249	2365
ENSG00000047315	4108
ENSG00000047346	4590
ENSG00000047365	7514
ENSG00000047410	9708
ENSG00000047457	4676
ENSG00000047578	6616
ENSG00000047579	1880
ENSG00000047597	5209
ENSG00000047617	3720
ENSG00000047621	3826
ENSG00000047634	4615
ENSG00000047644	6647
ENSG00000047648	6299
ENSG00000047662	6622
ENSG00000047849	8920
ENSG00000047932	4590
ENSG00000047936	7435
ENSG00000048028	4669
ENSG00000048052	9705
ENSG00000048140	4445
ENSG00000048162	1258
ENSG00000048342	5249
ENSG00000048392	4931
ENSG00000048405	4358
ENSG00000048462	994
ENSG00000048471	8171
ENSG00000048540	3810
ENSG00000048544	2110
ENSG00000048545	2233
ENSG00000048649	11550
ENSG00000048707	16357
ENSG00000048740	8044
ENSG00000048828	5118
ENSG00000048991	4648
ENSG00000049089	2887
ENSG00000049130	5737
ENSG00000049167	3424
ENSG00000049192	7311
ENSG00000049239	9146
ENSG00000049245	2205
ENSG00000049246	6318
ENSG00000049247	1601
ENSG00000049249	5970
ENSG00000049283	4071
ENSG00000049323	6333
ENSG00000049449	2653
ENSG00000049540	3967
ENSG00000049541	1695
ENSG00000049618	10813
ENSG00000049656	3540
ENSG00000049759	8436
ENSG00000049768	2448
ENSG00000049769	3421
ENSG00000049860	2021
ENSG00000049883	11151
ENSG00000050030	11712
ENSG00000050130	2524
ENSG00000050165	2650
ENSG00000050327	5544
ENSG00000050344	3686
ENSG00000050393	5471
ENSG00000050405	3920
ENSG00000050426	2948
ENSG00000050438	11824
ENSG00000050555	6133
ENSG00000050628	6982
ENSG00000050730	2416
ENSG00000050748	4815
ENSG00000050767	3061
ENSG00000050820	4659
ENSG00000051009	3481
ENSG00000051108	2946
ENSG00000051128	1979
ENSG00000051180	2449
ENSG00000051341	9055
ENSG00000051382	5919
ENSG00000051523	1415
ENSG00000051596	1796
ENSG00000051620	10014
ENSG00000051825	6351
ENSG00000052126	6487
ENSG00000052344	1872
ENSG00000052723	5506
ENSG00000052749	4476
ENSG00000052795	6925
ENSG00000052802	2269
ENSG00000052841	4469
ENSG00000052850	5754
ENSG00000053108	5419
ENSG00000053254	7832
ENSG00000053328	1119
ENSG00000053371	1362
ENSG00000053372	2315
ENSG00000053438	1297
ENSG00000053501	1776
ENSG00000053524	7813
ENSG00000053702	2746
ENSG00000053747	10661
ENSG00000053770	11737
ENSG00000053900	3807
ENSG00000053918	3246
ENSG00000054116	2428
ENSG00000054118	4432
ENSG00000054148	1316
ENSG00000054179	2095
ENSG00000054219	6886
ENSG00000054267	5946
ENSG00000054277	2620
ENSG00000054282	2567
ENSG00000054356	5099
ENSG00000054392	3626
ENSG00000054523	10669
ENSG00000054598	3926
ENSG00000054611	3934
ENSG00000054654	21842
ENSG00000054690	6604
ENSG00000054793	8106
ENSG00000054796	1834
ENSG00000054803	3024
ENSG00000054938	1971
ENSG00000054965	7296
ENSG00000054967	4346
ENSG00000054983	3883
ENSG00000055044	2046
ENSG00000055070	3636
ENSG00000055118	4286
ENSG00000055130	3064
ENSG00000055147	4443
ENSG00000055163	6370
ENSG00000055208	4553
ENSG00000055211	2026
ENSG00000055332	10042
ENSG00000055483	6063
ENSG00000055609	16862
ENSG00000055732	2953
ENSG00000055813	3982
ENSG00000055917	6251
ENSG00000055950	2134
ENSG00000055955	3336
ENSG00000055957	2911
ENSG00000056050	1230
ENSG00000056097	4738
ENSG00000056277	4634
ENSG00000056291	1922
ENSG00000056487	3671
ENSG00000056558	6324
ENSG00000056586	9248
ENSG00000056678	330
ENSG00000056736	2822
ENSG00000056972	5128
ENSG00000056998	3393
ENSG00000057019	6122
ENSG00000057149	1777
ENSG00000057252	6861
ENSG00000057294	4302
ENSG00000057468	3266
ENSG00000057593	3109
ENSG00000057608	2499
ENSG00000057657	5164
ENSG00000057663	3216
ENSG00000057704	5877
ENSG00000057757	1603
ENSG00000057935	5832
ENSG00000058056	8323
ENSG00000058063	7325
ENSG00000058085	5147
ENSG00000058091	5163
ENSG00000058262	3635
ENSG00000058272	5721
ENSG00000058335	6294
ENSG00000058404	4447
ENSG00000058453	6656
ENSG00000058600	4800
ENSG00000058668	8968
ENSG00000058673	11825
ENSG00000058729	3922
ENSG00000058799	1858
ENSG00000058804	5134
ENSG00000058866	6054
ENSG00000059122	5037
ENSG00000059145	5116
ENSG00000059377	2505
ENSG00000059378	3796
ENSG00000059573	3359
ENSG00000059588	5130
ENSG00000059691	6552
ENSG00000059728	5587
ENSG00000059758	4157
ENSG00000059769	2572
ENSG00000059804	4414
ENSG00000059915	4183
ENSG00000060069	5866
ENSG00000060138	6393
ENSG00000060140	2995
ENSG00000060237	11804
ENSG00000060303	408
ENSG00000060339	4683
ENSG00000060491	4506
ENSG00000060558	2133
ENSG00000060566	2618
ENSG00000060642	2713
ENSG00000060656	5579
ENSG00000060688	1928
ENSG00000060709	6321
ENSG00000060718	7327
ENSG00000060749	9693
ENSG00000060762	1192
ENSG00000060971	4720
ENSG00000060982	9674
ENSG00000061273	6414
ENSG00000061337	5706
ENSG00000061455	9267
ENSG00000061492	1597
ENSG00000061656	1453
ENSG00000061676	20347
ENSG00000061794	1888
ENSG00000061918	3124
ENSG00000061936	5593
ENSG00000061938	5940
ENSG00000061987	13275
ENSG00000062038	4929
ENSG00000062096	2164
ENSG00000062194	4683
ENSG00000062282	5926
ENSG00000062370	3654
ENSG00000062485	3057
ENSG00000062524	3444
ENSG00000062582	1727
ENSG00000062598	4121
ENSG00000062650	6333
ENSG00000062716	4325
ENSG00000062725	6478
ENSG00000062822	3517
ENSG00000063015	4471
ENSG00000063046	4148
ENSG00000063127	2983
ENSG00000063169	5739
ENSG00000063176	3085
ENSG00000063177	3844
ENSG00000063180	1844
ENSG00000063241	2283
ENSG00000063244	3022
ENSG00000063245	16219
ENSG00000063322	3653
ENSG00000063438	5661
ENSG00000063515	1033
ENSG00000063587	6418
ENSG00000063601	4516
ENSG00000063660	3713
ENSG00000063761	3560
ENSG00000063854	2984
ENSG00000063978	4123
ENSG00000064012	2930
ENSG00000064042	6165
ENSG00000064102	2974
ENSG00000064115	2709
ENSG00000064195	2602
ENSG00000064199	4949
ENSG00000064201	3325
ENSG00000064205	2759
ENSG00000064218	2183
ENSG00000064225	3571
ENSG00000064270	3600
ENSG00000064300	3417
ENSG00000064309	9138
ENSG00000064313	5048
ENSG00000064393	15049
ENSG00000064419	4514
ENSG00000064489	1804
ENSG00000064490	1407
ENSG00000064545	1930
ENSG00000064547	2546
ENSG00000064601	3056
ENSG00000064607	6176
ENSG00000064651	6885
ENSG00000064652	2158
ENSG00000064655	2702
ENSG00000064666	2266
ENSG00000064687	6816
ENSG00000064692	4986
ENSG00000064703	4332
ENSG00000064726	3297
ENSG00000064763	3616
ENSG00000064787	6112
ENSG00000064835	1491
ENSG00000064886	2169
ENSG00000064932	4923
ENSG00000064933	3417
ENSG00000064961	2434
ENSG00000064989	5223
ENSG00000064995	1945
ENSG00000064999	6347
ENSG00000065000	5065
ENSG00000065029	4651
ENSG00000065054	2194
ENSG00000065057	1067
ENSG00000065060	9570
ENSG00000065135	27174
ENSG00000065150	6003
ENSG00000065154	2048
ENSG00000065183	9974
ENSG00000065243	6121
ENSG00000065268	1608
ENSG00000065308	6908
ENSG00000065320	5954
ENSG00000065325	4572
ENSG00000065328	4587
ENSG00000065357	5436
ENSG00000065361	5919
ENSG00000065371	2056
ENSG00000065413	7218
ENSG00000065427	2421
ENSG00000065457	2768
ENSG00000065485	2232
ENSG00000065491	3462
ENSG00000065518	1426
ENSG00000065526	12232
ENSG00000065534	10027
ENSG00000065548	2138
ENSG00000065559	3856
ENSG00000065600	2475
ENSG00000065609	4521
ENSG00000065613	7766
ENSG00000065615	9252
ENSG00000065618	5689
ENSG00000065621	6423
ENSG00000065665	2462
ENSG00000065675	3285
ENSG00000065717	2705
ENSG00000065802	6994
ENSG00000065809	3785
ENSG00000065833	3371
ENSG00000065882	5700
ENSG00000065883	10135
ENSG00000065911	4456
ENSG00000065923	10024
ENSG00000065970	5523
ENSG00000065978	1524
ENSG00000065989	4781
ENSG00000066027	3128
ENSG00000066032	4349
ENSG00000066044	6015
ENSG00000066056	3882
ENSG00000066084	8593
ENSG00000066117	3658
ENSG00000066135	4474
ENSG00000066136	2363
ENSG00000066185	1775
ENSG00000066230	5176
ENSG00000066248	3215
ENSG00000066279	10887
ENSG00000066294	8181
ENSG00000066322	1625
ENSG00000066336	1403
ENSG00000066379	3672
ENSG00000066382	5591
ENSG00000066405	3520
ENSG00000066422	6020
ENSG00000066427	6950
ENSG00000066455	2969
ENSG00000066468	4369
ENSG00000066557	2884
ENSG00000066583	1940
ENSG00000066629	4804
ENSG00000066651	4437
ENSG00000066654	4122
ENSG00000066697	1991
ENSG00000066735	6714
ENSG00000066739	13684
ENSG00000066777	7225
ENSG00000066813	2935
ENSG00000066827	5472
ENSG00000066855	2640
ENSG00000066923	4450
ENSG00000066926	3853
ENSG00000066933	12411
ENSG00000067048	4445
ENSG00000067057	2769
ENSG00000067064	3370
ENSG00000067066	3882
ENSG00000067082	4656
ENSG00000067113	1597
ENSG00000067141	7342
ENSG00000067167	3394
ENSG00000067177	6173
ENSG00000067182	2223
ENSG00000067191	5308
ENSG00000067208	7436
ENSG00000067221	6336
ENSG00000067225	3016
ENSG00000067248	4557
ENSG00000067334	5897
ENSG00000067365	4984
ENSG00000067369	10384
ENSG00000067445	4647
ENSG00000067533	7771
ENSG00000067560	2031
ENSG00000067596	6215
ENSG00000067601	1052
ENSG00000067606	2326
ENSG00000067646	5239
ENSG00000067704	3560
ENSG00000067715	4808
ENSG00000067798	9821
ENSG00000067829	1712
ENSG00000067836	2684
ENSG00000067840	3763
ENSG00000067842	6742
ENSG00000067900	9484
ENSG00000067955	3136
ENSG00000067992	4720
ENSG00000068001	4054
ENSG00000068024	8990
ENSG00000068028	2060
ENSG00000068078	4438
ENSG00000068079	1241
ENSG00000068097	3932
ENSG00000068120	2458
ENSG00000068137	4339
ENSG00000068305	5824
ENSG00000068308	2740
ENSG00000068323	3415
ENSG00000068354	4042
ENSG00000068366	5333
ENSG00000068383	2967
ENSG00000068394	1742
ENSG00000068400	3278
ENSG00000068438	1986
ENSG00000068489	2334
ENSG00000068615	3857
ENSG00000068650	8858
ENSG00000068654	12749
ENSG00000068697	1765
ENSG00000068724	5157
ENSG00000068745	2490
ENSG00000068781	3824
ENSG00000068784	3681
ENSG00000068796	3360
ENSG00000068831	2983
ENSG00000068878	7099
ENSG00000068885	4306
ENSG00000068903	4734
ENSG00000068912	2433
ENSG00000068971	2745
ENSG00000068976	3198
ENSG00000068985	665
ENSG00000069011	2406
ENSG00000069018	2987
ENSG00000069020	10711
ENSG00000069122	5810
ENSG00000069188	10723
ENSG00000069206	3367
ENSG00000069248	5207
ENSG00000069275	6496
ENSG00000069329	6790
ENSG00000069345	3122
ENSG00000069399	2038
ENSG00000069424	4273
ENSG00000069431	8293
ENSG00000069482	818
ENSG00000069493	5279
ENSG00000069509	1196
ENSG00000069535	2566
ENSG00000069667	10844
ENSG00000069696	1375
ENSG00000069702	6465
ENSG00000069764	1000
ENSG00000069812	4262
ENSG00000069849	1951
ENSG00000069869	7235
ENSG00000069943	2172
ENSG00000069956	5345
ENSG00000069966	8906
ENSG00000069974	3459
ENSG00000069998	3614
ENSG00000070010	5038
ENSG00000070018	10020
ENSG00000070019	3844
ENSG00000070031	366
ENSG00000070047	5523
ENSG00000070061	5905
ENSG00000070081	3262
ENSG00000070087	2325
ENSG00000070159	8765
ENSG00000070182	10177
ENSG00000070190	2955
ENSG00000070193	2193
ENSG00000070214	10511
ENSG00000070269	4264
ENSG00000070366	5960
ENSG00000070367	10589
ENSG00000070371	5513
ENSG00000070388	1712
ENSG00000070404	2542
ENSG00000070413	4814
ENSG00000070423	2092
ENSG00000070444	4996
ENSG00000070476	4639
ENSG00000070495	5517
ENSG00000070501	1341
ENSG00000070526	2657
ENSG00000070540	1886
ENSG00000070601	5465
ENSG00000070610	3757
ENSG00000070614	8030
ENSG00000070669	2356
ENSG00000070718	3669
ENSG00000070729	5641
ENSG00000070731	2170
ENSG00000070748	2528
ENSG00000070756	3485
ENSG00000070759	3074
ENSG00000070761	1605
ENSG00000070770	4978
ENSG00000070778	6166
ENSG00000070785	1923
ENSG00000070808	5322
ENSG00000070814	5240
ENSG00000070831	2274
ENSG00000070882	6760
ENSG00000070886	4943
ENSG00000070915	5567
ENSG00000070950	5886
ENSG00000070961	7032
ENSG00000070985	3929
ENSG00000071051	2683
ENSG00000071054	7640
ENSG00000071073	8432
ENSG00000071082	2328
ENSG00000071127	4482
ENSG00000071189	6817
ENSG00000071203	1167
ENSG00000071205	8188
ENSG00000071242	5992
ENSG00000071243	3777
ENSG00000071246	5728
ENSG00000071282	8405
ENSG00000071462	3886
ENSG00000071537	7925
ENSG00000071539	2672
ENSG00000071553	4515
ENSG00000071564	4451
ENSG00000071575	4391
ENSG00000071626	3943
ENSG00000071655	5518
ENSG00000071677	264
ENSG00000071794	5317
